Цена,Ссылка,Место,Кол-во комнат,Площадь,Год строительства
63 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_ukomplektovannye_mebeliu_i_tehnikoi_v_50_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",2+1,110 м2,2000
60 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_s_vidom_na_more_ukomplektovannaia_mebeliu_i_tehnikoi_Mahmutlar_Alania_100_m2,"Алания, Махмутлар",2+1,100 м2,2007
71 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_s_mebeliu_i_tehnikoi_v_uhozhennom_zhilom_komplekse_raiona_Tosmur_Alania_110_m2,"Алания, Тосмур",2+1,110 м2,2015
160 000 €,https://profitrealestate.ru/catalog_single/Kvartira_31_v_novom_sovremennom_komplekse_s_bogatoi_infrastrukturoi_v_raione_Oba,"Алания, Оба",3+1,150 м2,2020
65 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_v_zhilom_komplekse_s_infrastrukturoi_klassa_liuks_Mahmutlar_Alania_75_m2,"Алания, Махмутлар",1+1,75 м2,2016
75 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_vsego_v_200_metrah_ot_moria_v_uhozhennoi_rezidencii_Mahmutlara_Alania_110_m2,"Алания, Махмутлар",2+1,110 м2,2009
155 000 €,https://profitrealestate.ru/catalog_single/Stilnyi_dupleks_na_vysokom_etazhe_v_raione_Mahmutlar_v_komplekse_2020_goda,"Алания, Махмутлар",4+2,165 м2,2020
69 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_na_etape_stroitelstva_po_cenam_zastroishika_Mahmutlar_Alania_70_m2,"Алания, Махмутлар",1+1,70 м2,2021
66 000 €,https://profitrealestate.ru/catalog_single/Nedorogaia_trehkomnatnaia_kvartira_v_Mahmutlare_s_bolshoi_ploshadiu_130m2_s_vidom_na_gory,"Алания, Махмутлар",2+1,130 м2,2008
75 000 €,https://profitrealestate.ru/catalog_single/Novyi_investicionnyi_proekt_v_centre_Alanii_v_100_metrah_ot_pliazha_Keikubat,"Алания, Алания центр","1+1, 2+1, 3+1",49-137 м2,2022
68 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_elitnoi_rezidencii_s_infrastrukturoi_otelia_Mahmutlar_113_m2,"Алания, Махмутлар",2+1,113 м2,2011
74 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_ukomplektovannaia_mebeliu_i_tehnikoi_v_prestizhnoi_rezidencii_Mahmutlara_Alania_113_m2,"Алания, Махмутлар",2+1,113 м2,2011
65 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_elitnom_zhilom_komplekse_s_infrastrukturoi_otelia_Dzhikdzhilli_Alania_77_m2,"Алания, Джикджилли",1+1,77 м2,2015
55 000 €,https://profitrealestate.ru/catalog_single/Novye_dvuhkomnatnye_apartamenty_ukomplektovannye_mebeliu_i_tehnikoi_v_400_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",1+1,68 м2,2018
62 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_65_m2,"Алания, Махмутлар",1+1,65 м2,2018
74 000 €,https://profitrealestate.ru/catalog_single/Novye_dvuhkomnatnye_apartamenty_vsego_v_200_metrah_ot_moria_Kargydzhak_Alania,"Алания, Каргыджак",1+1,60 м2,2019
79 000 €,https://profitrealestate.ru/catalog_single/Investicionnaia_nedvizhimost_na_etape_stroitelstva_Oba_Alania_56315_m2,"Алания, Оба","1+1, 2+1, 3+1, 4+1",56-315 м2,2022
54 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_11_v_zhilom_komplekse_2020_goda_postroiki_Mahmutlar_Alania,"Алания, Махмутлар",1+1,50 м2,2020
76 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_zhilom_komplekse_klassa_liuks_Mahmutlar_Alania_50_m2,"Алания, Махмутлар",1+1,50 м2,2012
104 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_na_pervoi_beregovoi_linii_Mahmutlar_Alania,"Алания, Махмутлар",2+1,110 м2,2010
97 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_s_mebeliu_i_tehnikoi_v_50_metrah_ot_blagoustroennogo_pliazha_raiona_Tosmur_Alania_120_m2,"Алания, Тосмур",2+1,120 м2,2011
43 500 €,https://profitrealestate.ru/catalog_single/Novye_apartamenty_ukomplektovannye_mebeliu_i_tehnikoi_v_300_metrah_ot_centra_Mahmutlara_Alania_60120_m2,"Алания, Махмутлар","1+1, 2+1, 3+1",60-120 м2,2018
89 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_s_vidom_na_more_v_uiutnoi_rezidencii_Mahmutlara_Alania_120_m2,"Алания, Махмутлар",2+1,120 м2,2009
38 000 €,https://profitrealestate.ru/catalog_single/Masshtabnyi_investicionnyi_liuksproekt_v_Avsallare_s_besprocentnoi_rassrochkoi_po_nizkim_cenam,"Алания, Авсаллар","1+1, 2+1, 3+1",55-140 м2,2022
132 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_novom_zhilom_komplekse_vsego_v_250_metrah_ot_moria_Kargydzhak_Alania,"Алания, Каргыджак",2+1,110 м2,2020
44 000 €,https://profitrealestate.ru/catalog_single/Novaia_dvuhkomnatnaia_kvartira_v_zhilom_komplekse_s_prekrasnymi_vidovymi_harakteristikami_Kargydzhak_Alania_57_m2,"Алания, Каргыджак",1+1,57 м2,2019
84 000 €,https://profitrealestate.ru/catalog_single/Elitnyi_zhiloi_kompleks_na_nachalnom_etape_stroitelstva_s_polnoi_infrastrukturoi_v_istoricheskom_centre_Alanii_pliazh_Kleopatra_s_opciei_besprocentnoi_rassrochki,"Алания, Алания центр","1+1, 2+1",58-147 м2,2022
73 000 €,https://profitrealestate.ru/catalog_single/Nedvizhimost_v_centre_Alani_po_cenam_zastroishika_Novyi_investicionnyi_proekt_v_150_metrah_ot_moria,"Алания, Алания центр","1+1, 2+1, 3+1",55-115 м2,2022
132 000 €,https://profitrealestate.ru/catalog_single/Prostornyi_trehkomnatnyi_dupleks_gotovyi_k_zaseleniiu_v_novoi_shikarnoi_rezidencii_Kargydzhak_Alania_147_m2,"Алания, Каргыджак",2+1,147 м2,2019
71 500 €,https://profitrealestate.ru/catalog_single/Elegantnye_trehkomnatnye_apartamenty_v_uhozhennom_zhilom_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_120_m2,"Алания, Махмутлар",2+1,120 м2,2008
99 000 €,https://profitrealestate.ru/catalog_single/Investicionnaia_nedvizhimost_po_cenam_zastroishika_v_centre_Alanii_55__200_m2,"Алания, Алания центр","1+1, 2+1, 3+1, 4+1",55 - 200 м2,2022
82 500 €,https://profitrealestate.ru/catalog_single/Odnokomnatnaia_kvartira_v_zhilom_komplekse_klassa_liuks_Kargydzhak_Alania_40_m2,"Алания, Каргыджак",0+1,40 м2,2017
48 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_bez_mebeli_i_tehniki_v_300_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",1+1,65 м2,2016
69 500 €,https://profitrealestate.ru/catalog_single/Prostornye_trehkomnatnye_apartamenty_s_vidom_na_more_i_gory_v_Mahmutlare_Alania_120_m2,"Алания, Махмутлар",2+1,120 м2,2008
121 000 €,https://profitrealestate.ru/catalog_single/Triohetazhnaia_villa_s_shikarnymi_panoramnymi_vidami_i_sobstvennym_basseinom_Kargydzhak_Alania_200_m2,"Алания, Каргыджак",4+1,200 м2,2010
130 000 €,https://profitrealestate.ru/catalog_single/Novaia_nedvizhimost_v_centre_Alani_po_cenam_zastroishika_118427_m2,"Алания, Алания центр","2+1, 3+1",118-427 м2,2020
67 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_v_chistovoi_otdelke__v_zhilom_komplekse_primiumklassa_Kestel_Alania_65_m2,"Алания, Кестель",1+1,65 м2,2015
92 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_elitnom_komplekse_raiona_Kestel_300_metrov_do_moria,"Алания, Кестель",2+1,110 м2,2016
231 000 €,https://profitrealestate.ru/catalog_single/Stilnaia_chetyrehkomnatnaia_kvartira_s_vidom_na_more_i_gory_v_Tosmure_Alania_160_m2,"Алания, Тосмур",3+1,160 м2,2007
63 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_100_metrah_ot_centra_Mahmutlara_Alania_115_m2,"Алания, Махмутлар",2+1,115 м2,2010
99 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_chetyrehkomnatnaia_kvartira_bez_mebeli_v_150_metrah_ot_pliazha_Mahmutlara_Alania_135_m2,"Алания, Махмутлар",3+1,135 м2,2015
85 000 €,https://profitrealestate.ru/catalog_single/Novyi_investicionnyi_proekt_v_centre_Alani_i_v_200_metrah_ot_pliazha_Kleopatra_70142_m2,"Алания, Алания центр","1+1, 2+1, 3+1",70-142 м2,2021
132 000 €,https://profitrealestate.ru/catalog_single/Triohkomnatnye_apartamenty_v_prestizhnom_zhilom_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_110_m2,"Алания, Махмутлар",2+1,110 м2,2015
71 500 €,https://profitrealestate.ru/catalog_single/Svetlaia_uiutnaia_kvartira_21_s_vidom_na_gorod_v_evropeiskom_raione_Oba,"Алания, Оба",2+1,90 м2,2008
69 000 €,https://profitrealestate.ru/catalog_single/Kvartiry_v_rassrochku_po_cenam_zastroishika_Novyi_investicionnyi_proekt_v_Kargydzhake_vsego_v_100_metrah_ot_moria,"Алания, Каргыджак","1+1, 2+1, 3+1",50-220 м2,2022
66 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_v_stroiashemsia_dome_po_cenam_zastroishika_Mahmutlar_Alania_70_m2,"Алания, Махмутлар",1+1,70 м2,2021
63 000 €,https://profitrealestate.ru/catalog_single/Uiutnaia_trehkomnatnaia_kvartira_s_mebeliu_i_tehnikoi_v_200_metrah_ot_centra_raiona_Tomur_Alania_110_m2,"Алания, Тосмур",2+1,110 м2,2009
40 500 €,https://profitrealestate.ru/catalog_single/Novye_kvartiry_raznoi_planirovki_v_zhilom_komplekse_postroennom_v_2020_godu_v_Demirtashe_Alania_56120_m2,"Алания, Газипаша","1+1, 2+1, 3+1",56-120 м2,2020
97 000 €,https://profitrealestate.ru/catalog_single/Stilnaia_triohkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_zhilom_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_105_m2,"Алания, Махмутлар",2+1,105 м2,2015
66 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_gotovaia_k_zaseleniiu_vsego_v_250_metrah_ot_pliazha_Mahmutlara_Alania_1,"Алания, Махмутлар",2+1,120 м2,2006
81 500 €,https://profitrealestate.ru/catalog_single/Elegantnye_trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_150_metrah_ot_moria_Kargydzhak_Alania,"Алания, Каргыджак",2+1,100 м2,2015
88 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_chetyrehkomnatnaia_kvartira_s_otdelnoi_kuhnei_v_dome_gorodskogo_tipa_v_300_metrah_ot_pliazha_Kleopatra,"Алания, Алания центр",3+1,180 м2,2005
73 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnyi_dupleks_s_mebeliu_i_tehnikoi_v_komplekse_s_infrastrukturoi_otelia_v_Avsallare_Alania_110_m2,"Алания, Авсаллар",2+1,110 м2,2013
66 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_s_vidom_na_more_ukomplektovannye_mebeliu_v_Kargydzhake_Alania_110_m2,"Алания, Каргыджак",2+1,110 м2,2006
80 500 €,https://profitrealestate.ru/catalog_single/Prostornaia_dvuhetazhnaia_kvartira_planirovki_22_v_Mahmutlare_mebel_tehnika_vygodnaia_cena,"Алания, Махмутлар",2+2,120 м2,2016
110 000 €,https://profitrealestate.ru/catalog_single/Otlichnaia_trehkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_100_metrah_ot_centra_Mahmutlara_Alania_130_m2,"Алания, Махмутлар",2+1,130 м2,2008
59 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_uhozhennom_zhilom_komplekse_prestizhnogo_raiona_Oba_Alania_110_m2,"Алания, Оба",2+1,110 м2,2004
46 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_11_s_mebeliu_i_tehnikoi_v_komplekse_s_otlichnoi_infrastrukturoi_Mahmutlar_Alania_45_m2,"Алания, Махмутлар",1+1,45 м2,2016
67 500 €,https://profitrealestate.ru/catalog_single/Uiutnye_trehkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_centre_prestizhnogo_raiona_Oba_85_m2,"Алания, Оба",2+1,85 м2,2003
66 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_ot_sobstvennika_v_centre_Alanii_1,"Алания, Алания центр",1+1,55 м2,2020
41 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_v_novom_zhilom_komplekse_na_zavershaiushem_etape_stroitelstva_vsego_v_300_metrah_ot_centra_Mahmutlara_Alania,"Алания, Махмутлар",1+1,55 м2,2020
42 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_vsego_v_200_metrah_ot_pliazha_Mahmutlara_Alania_65_m2,"Алания, Махмутлар",1+1,65 м2,2009
97 000 €,https://profitrealestate.ru/catalog_single/Kvartira_planirovki_21_na_pervoi_beregovoi_linii_s_vidom_na_more_i_gory_Mahmutlar,"Алания, Махмутлар",2+1,125 м2,2007
55 000 €,https://profitrealestate.ru/catalog_single/Meblirovannaia_kvartira_11_v_samom_centre_Alanii_v_400_metrah_ot_pliazha_Kleopatry_po_nizkoi_cene,"Алания, Алания центр",1+1,55 м2,2015
385 000 €,https://profitrealestate.ru/catalog_single/Dve_villy_s_lichnym_basseinom_i_bolshoi_zakrytoi_territoriei_v_prestizhnom_raione_OBA_Alaniia,"Алания, Оба",3+1,200 м2,2006
60 500 €,https://profitrealestate.ru/catalog_single/Prostornaia_stilnaia_kvartira_planirovki_11_70m2_v_raione_Mahmutlar_Alania,"Алания, Махмутлар",1+1,70 м2,2014
54 500 €,https://profitrealestate.ru/catalog_single/Uiutnaia_kvartira_11_v_Mahmutlare_s_komplektom_mebeli_i_tehniki_vid_na_more_kompleks_s_infrastrukturoi,"Алания, Махмутлар",1+1,60 м2,2015
40 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_dvuhkomnatnaia_meblirovannaia_kvartira_obshei_ploshadiu_65m2,"Алания, Махмутлар",1+1,65 м2,2012
84 000 €,https://profitrealestate.ru/catalog_single/Prostornye_trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_50_metrah_ot_centra_Mahmutlara_Alania_120_m2,"Алания, Махмутлар",2+1,120 м2,2009
47 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_11_v_novom_zhilom_komplekse_Mahmutlara_vsego_v_200_metrah_ot_moria,"Алания, Махмутлар",1+1,55 м2,2020
68 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_zhilom_komplekse_klassa_liuks_v_Avsallare_Alania_90_m2,"Алания, Авсаллар",2+1,90 м2,2013
57 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_dvuhkomnatnaia_kvartira_s_otdelnoi_kuhnei_vsego_v_100_metrah_ot_centra_Alani,"Алания, Алания центр",1+1,90 м2,2003
77 000 €,https://profitrealestate.ru/catalog_single/Elegantnye_trehkomnatnye_apartamenty_s_mebeliu_v_komplekse_s_otlichnoi_infrastrukturoi_Mahmutlar_Alania_110_m2,"Алания, Махмутлар",2+1,110 м2,2010
42 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_po_vygodnoi_cene_v_100_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",2+1,100 м2,2000
71 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_blagoustroennom_zhilom_komplekse_Tosmura_Alania_110_m2,"Алания, Тосмур",2+1,110 м2,2010
171 000 €,https://profitrealestate.ru/catalog_single/Trehetazhnaia_villa_planirovki_42_s_basseinom_v_zhivopisnom_raione_Bektash_Alania_250_m2,"Алания, Алания центр",4+2,210 м2,2008
84 000 €,https://profitrealestate.ru/catalog_single/Dvuhetazhnaia_kvartira_planirovki_31_v_uhozhennom_zhilom_komplekse_s_bogatoi_infrastrukturoi_Avsallar_Alania_110_m2,"Алания, Авсаллар",3+1,110 м2,2015
42 000 €,https://profitrealestate.ru/catalog_single/CHetyrehkomnatnye_apartamenty_po_vygodnoi_cene_v_200_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",3+1,135 м2,2000
65 000 €,https://profitrealestate.ru/catalog_single/Investicionnyi_proekt_na_stadii_stroitelstva_kvartiry_planirovki_11_21_dubleksy_ploshadiu_ot_55m2_i_stoimostiu_ot_65000_Alania_Tosmur,"Алания, Тосмур","1+1, 2+1",55-84 м2,2021
64 500 €,https://profitrealestate.ru/catalog_single/Novaia_trehkomnatnaia_kvartira_bez_mebeli_v_centre_Mahmutlara_Alania_100_m2_1,"Алания, Махмутлар",2+1,100 м2,2019
47 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_po_cenam_zastroishika_v_stroiashemsia_zhilom_komplekse_Mahmutlara_Alania_57110_m2,"Алания, Махмутлар","1+1, 2+1",57-110 м2,2021
51 500 €,https://profitrealestate.ru/catalog_single/Stilnaia_villa_planirovki_11_s_zavorazhivaiushimi_vidami_na_gory_v_znamenitom_komplekse_Gold_Siti,"Алания, Каргыджак",1+1,80 м2,2008
64 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_v_zhilom_komplekse_2020_goda_postroiki__v_Mahmutlare_Alania,"Алания, Махмутлар",1+1,72 м2,2020
121 000 €,https://profitrealestate.ru/catalog_single/Ochen_prostornyi_semikomnatnyi_penthaus_v_200_metrah_ot_pliazha_Kestelia_Alania_303_m2,"Алания, Кестель",6+1,303 м2,2014
148 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_v_roskoshnoi_rezidencii_s_infrastrukturoi_otelia_vsego_v_50_metrah_ot_moria_Alania_centr,"Алания, Алания центр",1+1,65 м2,2018
87 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_komplekse_2016_goda_postroiki_v_raione_Avsallar_110_m2,"Алания, Авсаллар",2+1,110 м2,2015
48 000 €,https://profitrealestate.ru/catalog_single/Investicionnyi_proekt_na_stadii_stroitelstva_v_raione_Mahmutlar_Alania_vsego_v_500m_ot_moria,"Алания, Махмутлар","1+1, 2+1",48-105 м2,2022
88 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnyi_dupleks_v_elitnom_zhilom_komplekse_s_infrastrukturoi_otelia_Avsallar_Alania_140_m2,"Алания, Авсаллар",2+1,140 м2,2015
42 000 €,https://profitrealestate.ru/catalog_single/Uiutnaia_kvartirastudiia_s_mebeliu_v_Avsallare_Alaniia,"Алания, Авсаллар",0+1,58 м2,2015
110 000 €,https://profitrealestate.ru/catalog_single/Dvuhurovnevaia_kvartira_planirovki_21_v_300_metra_ot_pliazha_Kleopatra_Alania_centr,"Алания, Алания центр",2+1,120 м2,2016
100 500 €,https://profitrealestate.ru/catalog_single/Uiutnaia_villa_s_tremia_spalniami_i_terrasoi_raspolozhennaia_u_podnozhiia_gor_v_Kargydzhake_Alania_200_m2,"Алания, Каргыджак",3+1,200 м2,2006
58 500 €,https://profitrealestate.ru/catalog_single/Kvartiry_v_rassrochku_ot_zastroishika_Novyi_investicionnyi_proekt_v_Kargydzhake_Alania_486140_m2,"Алания, Каргыджак","1+1, 2+1","48,6-140 м2",2021
52 000 €,https://profitrealestate.ru/catalog_single/Kvartiry_na_etape_stroitelstva_v_rassrochku_v_novom_zhilom_komplekse_Mahmutlara_Alania_55100_m2,"Алания, Махмутлар","1+1, 2+1",55-100 м2,2023
97 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_chetyrehkomnatnaia_kvartira_na_9_etazhe_v_komplekse_s_otkrytym_i_krytym_basseinom_v_raione_Mahmutlar,"Алания, Махмутлар",3+1,150 м2,2008
82 500 €,https://profitrealestate.ru/catalog_single/Elegantnye_trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_prestizhnom_komplekse_Mahmutlara_Alania_110_m2,"Алания, Махмутлар",2+1,110 м2,2007
115 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_50_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",2+1,120 м2,2009
60 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_rezidencii_klassa_liuks_v_Avsallare_Alania_55_m2,"Алания, Авсаллар",1+1,68 м2,2013
110 000 €,https://profitrealestate.ru/catalog_single/SHikarnye_trehkomnatnye_apartamenty_s_vidom_na_more_Mahmutlar_Alania_95_m2,"Алания, Махмутлар",2+1,95 м2,2016
110 000 €,https://profitrealestate.ru/catalog_single/Roskoshnaia_trehkomnatnaia_kvartira_gotovaia_k_zaseleniiu_na_pervoi_beregovoi_linii_Mahmutlar_Alania_110_m2,"Алания, Махмутлар",2+1,110 м2,2004
46 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_v_stroiashemsia_dome_Novyi_investicionnyi_proekt_s_infrastrukturoi_otelia_Oba_Alania_46_m2,"Алания, Оба",1+1,46 м2,2021
69 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnyi_dupleks_na_etape_stroitelstva_v_novoi_rezidencii_s_infrastrukturoi_otelia_Oba_Alania_98_m2,"Алания, Оба",2+1,98 м2,2021
53 000 €,https://profitrealestate.ru/catalog_single/Novaia_dvuhkomnatnaia_kvartira_v_komplekse_s_basseinom_v_raione_Mahmutlar,"Алания, Махмутлар",1+1,60 м2,2020
82 500 €,https://profitrealestate.ru/catalog_single/Prostornaia_trehkomnatnaia_kvartira_120_kvmetrov_v_komplekse_s_razvitoi_infrastukturoi,"Алания, Махмутлар",2+1,120 м2,2008
88 000 €,https://profitrealestate.ru/catalog_single/Novyi_investicionnyi_proekt_v_30_metrah_ot_moria_Kargydzhak_Alania_60170_m2,"Алания, Каргыджак","1+1, 2+1, 3+1",60-170 м2,2021
101 000 €,https://profitrealestate.ru/catalog_single/Nedorogie_kvartiry_v_rassrochku_ot_zastroishika_Novyi_investicionnyi_proekt_v_Avsallare_Alania_46210_m2,"Алания, Авсаллар","1+1, 2+1, 3+1",46-210 м2,2022
71 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_centre_Mahmutlara_Alania_i_vsego_v_150_metrah_ot_moria,"Алания, Махмутлар",2+1,110 м2,2018
121 000 €,https://profitrealestate.ru/catalog_single/Elegantnyi_trehkomnatnyi_dupleks_gotovyi_k_zaseleniiu_v_100_metrah_ot_pliazha_Kestelia_Alania,"Алания, Кестель",2+1,110 м2,2017
48 000 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_11_i_21_v_shikarnoi_rezidencii_raiona_Demirtash_Alania_60118_m2,"Алания, Демирташ","1+1, 2+1",60-118 м2,2016
71 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_novom_zhilom_komplekse_na_zavershaiushem_etape_stroitelstva_vsego_v_200_metrah_ot_moria_Mahmutlar_Alania_100_m2,"Алания, Махмутлар",2+1,100 м2,2021
46 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_100_metrah_ot_pliazha_Konakly_Alania,"Алания, Конаклы",2+1,100 м2,2007
51 000 €,https://profitrealestate.ru/catalog_single/Kvartira_planirovki_21_v_zhilom_komplekse_s_basseinom_v_raione_Mahmutlar,"Алания, Махмутлар",2+1,120 м2,2000
82 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_s_mebeliu_i_tehnikoi_v_rezidencii_klassa_liuks_v_Avsallare_Alania_100_m2,"Алания, Авсаллар",2+1,100 м2,2013
90 500 €,https://profitrealestate.ru/catalog_single/Stilnye_trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_Mahmutlare_Alania_100_m2,"Алания, Махмутлар",2+1,100 м2,2020
55 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_v_novom_zhilom_komplekse_po_vygodnoi_cene_Mahmutlar_Alania_65_m2,"Алания, Махмутлар",1+1,65 м2,2020
68 000 €,https://profitrealestate.ru/catalog_single/Vidovaia_dvuhkomnatnaia_kvartira_v_Tosmure_v_komplekse_s_infrastrukturoi_65_kvm,"Алания, Тосмур",1+1,65 м2,2015
71 500 €,https://profitrealestate.ru/catalog_single/Uiutnaia_trehkomnatnaia_kvartira_v_komplekse_s_infrastrukturoi_v_raione_Kestel,"Алания, Кестель",2+1,80 м2,2016
78 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_uhozhennom_zhilom_komplekse_raiona_Tosmur_Alania_110_m2,"Алания, Тосмур",2+1,110 м2,2006
52 000 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_11_bez_mebeli_v_novom_zhilom_komplekse_s_horoshei_infrastrukturoi_vsego_v_300_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",1+1,60 м2,2020
84 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_s_otdelnoi_kuhnei_v_200_metrah_ot_centra_Alani,"Алания, Алания центр",2+1,120 м2,2015
44 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_s_mebeliu_i_tehnikoi_po_vygodnoi_cene_Mahmutlar_Alania_100_m2,"Алания, Махмутлар",2+1,100 м2,2003
53 500 €,https://profitrealestate.ru/catalog_single/Uiutnye_dvuhkomnatnye_apartamenty_s_shikarnymi_morskimi_vidami_v_Mahmutlare_Alania_65_m2_1,"Алания, Махмутлар",1+1,60 м2,2014
41 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_s_mebeliu_i_tehnikoi_v_uhozhennom_zhilom_komplekse_vsego_v_500_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",1+1,65 м2,2007
385 000 €,https://profitrealestate.ru/catalog_single/Otdelno_stoiashaia_villa_s_lichnym_basseinom_i_bolshoi_territoriei_v_raione_Mahmutlar,"Алания, Махмутлар",4+1,180 м2,2020
86 000 €,https://profitrealestate.ru/catalog_single/Prekrasnye_trehkomnatnye_apartamenty_v_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_105_m2,"Алания, Махмутлар",2+1,105 м2,2015
99 000 €,https://profitrealestate.ru/catalog_single/Elegantnye_dvuhkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_250_metrah_ot_pliazha_Mahmutlara_Alania,"Алания, Махмутлар",1+1,65 м2,2016
